1 17 29 5 4 27 28 18 23 16 13 12 3 20 15 26 11 19 10 22 7 2 8 24 32 14 34 21 6 33 30 9 25 31 1
1 17 29 5 4 27 28 18 23 16 13 12 3 20 15 26 11 19 10 22 7 2 8 24 32 14 34 21 6 33 30 9 25 31 1
1 17 29 5 4 27 28 18 23 16 13 12 3 20 15 26 11 19 10 22 7 2 8 24 32 14 34 21 6 33 30 9 25 31 1
1 28 8 23 17 2 4 12 26 11 5 20 10 7 30 16 21 15 22 24 18 25 9 32 6 13 27 29 19 3 33 14 34 31 1
1 17 29 5 4 27 28 18 23 26 11 12 3 20 15 16 13 19 10 22 7 2 8 24 32 14 34 21 6 33 30 9 25 31 1
1 17 29 5 4 34 28 18 23 16 13 12 3 20 15 26 11 19 10 22 7 2 8 24 32 14 27 21 6 33 30 25 9 31 1
1 17 29 5 4 27 28 18 23 26 11 12 3 20 15 16 13 19 10 22 7 2 8 34 24 32 14 21 6 33 30 25 9 31 1
1 17 29 5 4 27 28 18 23 26 11 12 3 20 15 16 13 7 19 10 22 2 8 34 24 32 14 21 6 33 30 25 9 31 1
1 17 29 5 23 27 22 18 28 4 26 11 12 3 20 15 16 13 19 10 7 2 8 34 24 32 14 21 6 33 30 25 9 31 1
1 17 29 25 23 27 22 18 28 4 26 11 12 3 20 15 16 13 19 10 7 2 8 34 24 32 14 21 6 33 30 5 9 31 1
1 17 29 25 23 27 21 18 28 4 26 11 12 3 20 15 16 13 19 10 7 2 8 34 24 32 14 22 6 33 30 5 9 31 1
1 17 29 25 23 27 21 18 28 4 26 11 12 3 20 15 16 13 19 10 7 2 8 34 24 32 14 22 6 33 30 5 9 31 1
1 31 9 25 30 33 17 29 23 27 21 18 28 4 26 11 12 3 20 15 16 13 19 10 7 2 8 34 24 32 14 22 6 5 1
1 31 9 25 30 33 17 29 23 27 21 18 28 4 26 11 12 3 20 15 16 13 19 10 7 2 8 34 24 32 14 22 6 5 1
1 31 9 25 30 33 17 29 23 27 21 18 28 4 6 5 12 3 20 15 16 13 19 10 7 2 8 34 24 32 14 22 26 11 1
1 31 9 25 30 33 17 29 23 27 21 18 28 4 26 11 12 3 5 22 20 15 16 13 19 10 7 2 8 34 24 32 14 6 1
1 31 9 25 30 33 17 29 23 27 21 18 28 4 26 11 12 3 5 22 20 15 16 13 19 10 7 2 8 34 24 32 14 6 1
1 31 9 25 30 33 17 13 6 21 23 27 14 32 18 24 28 4 5 12 3 20 15 16 19 10 7 2 8 34 29 22 26 11 1
1 31 9 25 30 33 17 29 23 27 21 18 28 4 26 11 12 3 5 22 20 15 16 13 19 10 7 6 14 32 24 2 8 34 1
1 34 8 2 24 32 14 6 7 10 19 13 16 15 20 22 5 3 12 11 26 4 28 18 21 27 23 29 17 33 30 25 9 31 1
1 31 9 25 30 33 17 29 23 27 21 18 28 4 26 11 12 3 5 22 20 15 16 13 19 10 7 6 14 32 24 2 8 34 1
